id,name,value,year,lastValue,rank
1230,Kyrgyzstan,12.77176494736842,2019,12.0,88
1231,Paraguay,13.0,2018,12.0,88
1232,Sri Lanka,12.946586070850207,2022,12.63265333198381,89
1233,Mozambique,12.0,2016,0.0,89
1234,North Korea,13.0,2018,12.0,89
1235,Sri Lanka,15.144115242914983,2029,14.830182504048588,89
1236,Sri Lanka,14.516249765182192,2027,14.202317026315797,89
1237,Sri Lanka,13.574451548583,2024,13.260518809716604,89
1238,Sri Lanka,12.318720593117414,2019,13.0,89
1239,Bosnia and Herzegovina,12.0,2017,12.0,89
1240,Sri Lanka,13.260518809716604,2023,12.946586070850207,89
1241,Sri Lanka,14.830182504048588,2028,14.516249765182192,89
1242,Sri Lanka,13.888384287449398,2025,13.574451548583,89
1243,Sri Lanka,12.318720593117414,2020,12.318720593117414,89
1244,Sri Lanka,12.63265333198381,2021,12.318720593117414,89
1245,Sri Lanka,14.202317026315797,2026,13.888384287449398,89
1246,Georgia,12.377755184885292,2022,12.074414747638327,90
1247,Georgia,12.0,2018,11.0,90
1248,Georgia,12.98443605937922,2024,12.681095622132258,90
1249,Georgia,13.894457371120112,2027,13.591116933873147,90
1250,Georgia,13.591116933873147,2026,13.287776496626185,90
1251,North Korea,12.0,2017,14.0,90
1252,Georgia,14.50113824561404,2029,14.197797808367074,90
1253,Georgia,14.197797808367074,2028,13.894457371120112,90
1254,Georgia,12.074414747638327,2021,11.771074310391366,90
1255,Georgia,11.771074310391366,2020,11.771074310391366,90
1256,Georgia,11.771074310391366,2019,12.0,90
1257,Uruguay,11.0,2016,0.0,90
1258,Georgia,13.287776496626185,2025,12.98443605937922,90
1259,Georgia,12.681095622132258,2023,12.377755184885292,90
1260,Burma,13.205225427125509,2026,12.884713032388667,91
1261,Burma,13.525737821862352,2027,13.205225427125509,91
1262,Burma,14.166762611336036,2029,13.846250216599191,91
1263,North Korea,11.76625081511471,2020,11.76625081511471,91
1264,Zambia,11.0,2016,0.0,91
1265,Kyrgyzstan,12.0,2018,11.0,91
1266,Burma,13.846250216599191,2028,13.525737821862352,91
1267,Burma,12.243688242914985,2023,11.92317584817814,91
1268,Kyrgyzstan,11.0,2017,11.0,91
1269,Burma,12.884713032388667,2025,12.564200637651824,91
1270,Burma,11.602663453441298,2021,11.282151058704455,91
1271,North Korea,11.76625081511471,2019,13.0,91
1272,Burma,11.92317584817814,2022,11.602663453441298,91
1273,Burma,12.564200637651824,2024,12.243688242914985,91
1274,Uruguay,13.009765893117413,2027,12.772097075506077,92
